species,reproductive.mode,Genus,Family,female.SVL,hatchling.neonate.SVL,female.log,hatch.log,intercept,slope,female_mass,hatchling_mass,femass.log,hatcmass.log,rawFem,rawHatc,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,foraging.mode,diet,Binomial
Tropidurus_montanus,Oviparous,Tropidurus,Tropiduridae,72.3,29.3,1.9,1.5,-3.884,2.719,192.7,75.8,1.2,0.10,14.83,1.27,6,1,3.5,3.5,-43.2,-16.98,Diurnal,sit and wait,Carnivorous,Tropidurus_montanus
Tropidurus_semitaeniatus,Oviparous,Tropidurus,Tropiduridae,69.6,19,1.8,1.3,-3.884,2.719,185.4,47.8,1.1,-0.41,13.37,0.39,3,1,2.4,1.6,-40.38,-9.25,Diurnal,sit and wait,Omnivorous,Tropidurus_semitaeniatus
Tropidurus_spinulosus,Oviparous,Tropidurus,Tropiduridae,90.2,32.5,2.0,1.5,-3.884,2.719,241.4,84.5,1.4,0.23,27.05,1.69,8,3,5.8,4,-61.3,-22.98,Diurnal,sit and wait,Omnivorous,Tropidurus_spinulosus
Tropidurus_torquatus,Oviparous,Tropidurus,Tropiduridae,75.5,26.1,1.9,1.4,-3.884,2.719,201.4,67.1,1.2,-0.03,16.68,0.93,14,1,7.4,2,-49.17,-17.63,Diurnal,sit and wait,Omnivorous,Tropidurus_torquatus
Tupinambis_teguixin,Oviparous,Tupinambis,Teiidae,321,90,2.5,2.0,-4.747,3.11,993.6,275.2,3.0,1.33,1117.46,21.41,32,2,21.4,2.5,-60.99,-4.69,Diurnal,widely foraging,Omnivorous,Tupinambis_teguixin
Tympanocryptis_lineata,Oviparous,Tympanocryptis,Agamidae,53.8,22,1.7,1.3,-4.686,3.105,162.4,63.6,0.7,-0.52,4.88,0.30,11,2,7.3,5.7,142.71,-29.47,Diurnal,sit and wait,Omnivorous,Tympanocryptis_lineata
Uma_exsul,Oviparous,Uma,Phrynosomatidae,65.3,33.5,1.8,1.5,-3.855,2.677,171,85.8,1.0,0.23,10.08,1.69,6,1,3,2.5,-103.19,25.72,Diurnal,sit and wait,Omnivorous,Uma_exsul
Uma_notata,Oviparous,Uma,Phrynosomatidae,79.5,37.5,1.9,1.6,-3.855,2.677,209,96.5,1.2,0.36,17.07,2.28,6,1,3,2,-113.74,30.32,Diurnal,sit and wait,Omnivorous,Uma_notata
Uma_scoparia,Oviparous,Uma,Phrynosomatidae,86.7,39,1.9,1.6,-3.855,2.677,228.2,100.5,1.3,0.40,21.53,2.54,5,1,3.1,2.6,-115.89,34.69,Diurnal,sit and wait,Omnivorous,Uma_scoparia
Underwoodisaurus_milii,Oviparous,Underwoodisaurus,Carphodactylidae,79.2,35.5,1.9,1.6,-3.445,2.353,182.9,80.1,1.0,0.20,10.54,1.59,2,1,2,2,138.57,-30.97,Nocturnal,mixed,Carnivorous,Underwoodisaurus_milii
