species,reproductive.mode,Genus,Family,female.SVL,hatchling.neonate.SVL,female.log,hatch.log,intercept,slope,female_mass,hatchling_mass,femass.log,hatcmass.log,rawFem,rawHatc,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,foraging.mode,diet,Binomial
Acanthocercus_atricollis,Oviparous,Acanthocercus,Agamidae,113.9,34,2.1,1.5,-4.686,3.105,349,100.9,1.7,0.07,50.06,1.17,17,1,11.4,11.4,30.28,-9.53,Diurnal,sit and wait,Carnivorous,Acanthocercus_atricollis
Acanthodactylus_beershebensis,Oviparous,Acanthodactylus,Lacertidae,64.9,25,1.8,1.4,-4.543,2.951,187,69.2,0.8,-0.42,6.38,0.38,8,3,5,4.8,34.83,31.17,Diurnal,widely foraging,Carnivorous,Acanthodactylus_beershebensis
Acanthodactylus_boskianus,Oviparous,Acanthodactylus,Lacertidae,60.1,26.5,1.8,1.4,-4.543,2.951,172.8,73.7,0.7,-0.34,5.09,0.45,8,1,6,2.6,19.84,23.35,Diurnal,widely foraging,Carnivorous,Acanthodactylus_boskianus
Acanthodactylus_erythrurus,Oviparous,Acanthodactylus,Lacertidae,68.6,29,1.8,1.5,-4.543,2.951,197.9,81,0.9,-0.23,7.52,0.59,8,1,4.4,3,-3.2,37.24,Diurnal,mixed,Carnivorous,Acanthodactylus_erythrurus
Acanthodactylus_pardalis,Oviparous,Acanthodactylus,Lacertidae,61,30,1.8,1.5,-4.543,2.951,175.5,84,0.7,-0.18,5.32,0.65,7,2,4.8,2.5,25.1,31.05,Diurnal,sit and wait,Carnivorous,Acanthodactylus_pardalis
Acanthodactylus_schreiberi,Oviparous,Acanthodactylus,Lacertidae,69.4,35.8,1.8,1.6,-4.543,2.951,200.3,101.1,0.9,0.04,7.78,1.10,8,1,3,2.6,33.23,35.05,Diurnal,widely foraging,Carnivorous,Acanthodactylus_schreiberi
Acanthodactylus_scutellatus,Oviparous,Acanthodactylus,Lacertidae,52.6,24.3,1.7,1.4,-4.543,2.951,150.7,67.2,0.5,-0.45,3.43,0.35,6,1,3.3,2.5,12.9,23.81,Diurnal,mixed,Carnivorous,Acanthodactylus_scutellatus
Acontias_gariepensis,Viviparous,Acontias,Scincidae,121.5,65.3,2.1,1.8,-5.125,3.229,387.2,205.7,1.6,0.74,40.37,5.44,1,1,1,1,20.34,-26.61,Nocturnal,widely foraging,Carnivorous,Acontias_gariepensis
Aeluroscalabotes_felinus,Oviparous,Aeluroscalabotes,Eublepharidae,109.9,47,2.0,1.7,-5.201,3.255,352.5,147.8,1.4,0.24,27.70,1.74,2,1,2,2,113.98,2.79,Nocturnal,sit and wait,Carnivorous,Aeluroscalabotes_felinus
Agama_aculeata,Oviparous,Agama,Agamidae,85.4,27,1.9,1.4,-4.686,3.105,260.5,79.1,1.3,-0.24,20.47,0.57,18,8,14,11.5,22.57,-18.89,Diurnal,sit and wait,Omnivorous,Agama_aculeata
Agama_agama,Oviparous,Agama,Agamidae,89.8,31,2.0,1.5,-4.686,3.105,274.1,91.6,1.4,-0.06,23.93,0.88,24,3,12.1,5.5,15.61,6.77,Diurnal,sit and wait,Omnivorous,Agama_agama
Agama_hispida,Oviparous,Agama,Agamidae,98.7,29,2.0,1.5,-4.686,3.105,301.8,85.4,1.5,-0.15,32.09,0.72,20,4,14,13.4,20.8,-29.84,Diurnal,sit and wait,Carnivorous,Agama_hispida
Agama_impalearis,Oviparous,Agama,Agamidae,103.2,27.8,2.0,1.4,-4.686,3.105,315.8,81.6,1.6,-0.20,36.85,0.63,23,5,14.6,9,-2.61,28.65,Diurnal,sit and wait,Carnivorous,Agama_impalearis
Agama_kirkii,Oviparous,Agama,Agamidae,79.4,36,1.9,1.6,-4.686,3.105,241.9,107.1,1.2,0.15,16.33,1.40,10,10,10,10,31.93,-17.17,Diurnal,sit and wait,Carnivorous,Agama_kirkii
Alopoglossus_angulatus,Oviparous,Alopoglossus,Gymnophthalmidae,56.3,21.3,1.8,1.3,-5.178,3.302,180.7,65.2,0.6,-0.79,4.00,0.16,2,1,2,2,-62.98,-4.02,Diurnal,widely foraging,Carnivorous,Alopoglossus_angulatus
Alopoglossus_atriventris,Oviparous,Alopoglossus,Gymnophthalmidae,48,22,1.7,1.3,-5.178,3.302,153.3,67.5,0.4,-0.75,2.36,0.18,2,2,2,2,-70.19,-5.25,Diurnal,widely foraging,Carnivorous,Alopoglossus_atriventris
Ameiva_ameiva,Oviparous,Ameiva,Teiidae,118.9,39.1,2.1,1.6,-4.747,3.11,365,116.9,1.7,0.20,50.91,1.60,11,1,8,2.5,-58.3,-8.34,Diurnal,widely foraging,Carnivorous,Ameiva_ameiva
Ameiva_parecis,Oviparous,Ameiva,Teiidae,79.3,36,1.9,1.6,-4.747,3.11,241.9,107.2,1.2,0.09,14.45,1.24,2,1,1.6,1.6,-60.27,-12.48,Diurnal,widely foraging,Carnivorous,Ameiva_parecis
Ameivula_ocellifera,Oviparous,Ameivula,Teiidae,62.5,27.5,1.8,1.4,-4.747,3.11,189.6,80.8,0.8,-0.27,6.89,0.54,5,1,3.4,1.6,-51.28,-14.54,Diurnal,widely foraging,Carnivorous,Ameivula_ocellifera
Amphibolurus_muricatus,Oviparous,Amphibolurus,Agamidae,90.7,31.2,2.0,1.5,-4.686,3.105,276.9,92.2,1.4,-0.05,24.68,0.90,12,3,6,5.1,149.04,-31.67,Diurnal,sit and wait,Carnivorous,Amphibolurus_muricatus
Amphibolurus_norrisi,Oviparous,Amphibolurus,Agamidae,92.9,31,2.0,1.5,-4.686,3.105,283.8,91.6,1.4,-0.06,26.59,0.88,8,3,4.8,4.8,133.33,-33.48,Diurnal,sit and wait,Omnivorous,Amphibolurus_norrisi
Anepischetosia_maccoyi,Oviparous,Anepischetosia,Scincidae,51,23.4,1.7,1.4,-5.125,3.229,159.6,70.4,0.4,-0.70,2.45,0.20,9,1,3.6,2.3,146.46,-37.33,Cathemeral,widely foraging,Carnivorous,Anepischetosia_maccoyi
Anguis_fragilis,Viviparous,Anguis,Anguidae,176.5,47,2.2,1.7,-5.765,3.48,608.5,157.8,2.1,0.05,113.15,1.13,28,2,12.3,6.7,8.1,50.08,Diurnal,widely foraging,Carnivorous,Anguis_fragilis
Anniella_geronimensis,Viviparous,Anniella,Anniellidae,115.3,36,2.1,1.6,-4.207,2.3,261,78.6,0.5,-0.63,3.43,0.24,1,1,1,1,-115.55,30.56,Diurnal,widely foraging,Carnivorous,Anniella_geronimensis
Anniella_pulchra,Viviparous,Anniella,Anniellidae,143.8,56,2.2,1.7,-4.207,2.3,326.5,124.6,0.8,-0.19,5.70,0.65,4,1,2,1.3,-118.72,34.71,Cathemeral,widely foraging,Carnivorous,Anniella_pulchra
Anolis_acutus,Oviparous,Anolis,Dactyloidae,43.1,20.5,1.6,1.3,-4.574,2.942,122.2,55.7,0.2,-0.71,1.72,0.19,1,1,1,1,-64.77,17.74,Diurnal,sit and wait,Carnivorous,Anolis_acutus
Anolis_aeneus,Oviparous,Anolis,Dactyloidae,46.5,22.5,1.7,1.4,-4.574,2.942,132.2,61.6,0.3,-0.60,2.15,0.25,1,1,1,1,-58.9,6.51,Diurnal,sit and wait,Carnivorous,Anolis_aeneus
Anolis_agassizi,Oviparous,Anolis,Dactyloidae,77.1,26.4,1.9,1.4,-4.574,2.942,222.3,73.1,1.0,-0.39,9.50,0.41,1,1,1,1,-81.6,3.98,Diurnal,mixed,Carnivorous,Anolis_agassizi
Anolis_angusticeps,Oviparous,Anolis,Dactyloidae,38,15.5,1.6,1.2,-4.574,2.942,107.2,41,0.1,-1.07,1.19,0.08,1,1,1,1,-78.91,21.83,Diurnal,widely foraging,Carnivorous,Anolis_angusticeps
Anolis_auratus,Oviparous,Anolis,Dactyloidae,47.7,19.7,1.7,1.3,-4.574,2.942,135.8,53.4,0.4,-0.77,2.31,0.17,2,1,1,1,-65.36,3.89,Diurnal,sit and wait,Carnivorous,Anolis_auratus
Anolis_barbatus,Oviparous,Anolis,Dactyloidae,122.7,47.5,2.1,1.7,-4.574,2.942,356.4,135.2,1.6,0.36,37.27,2.28,1,1,1,1,-82,22.44,Diurnal,sit and wait,Herbivorous,Anolis_barbatus
Anolis_barbouri,Oviparous,Anolis,Dactyloidae,45.5,17,1.7,1.2,-4.574,2.942,129.3,45.4,0.3,-0.95,2.01,0.11,2,1,1,1,-71.61,18.44,Diurnal,sit and wait,Carnivorous,Anolis_barbouri
Anolis_biporcatus,Oviparous,Anolis,Dactyloidae,88.4,28,1.9,1.4,-4.574,2.942,255.5,77.8,1.2,-0.32,14.21,0.48,2,1,1,1,-83.23,11.62,Diurnal,sit and wait,Carnivorous,Anolis_biporcatus
Anolis_brasiliensis,Oviparous,Anolis,Dactyloidae,63.1,26,1.8,1.4,-4.574,2.942,181.1,71.9,0.7,-0.41,5.27,0.39,1,1,1,1,-49.46,-11.33,Diurnal,sit and wait,Carnivorous,Anolis_brasiliensis
Anolis_capito,Oviparous,Anolis,Dactyloidae,85,27,1.9,1.4,-4.574,2.942,245.5,74.9,1.1,-0.36,12.66,0.43,1,1,1,1,-85.96,13.51,Diurnal,sit and wait,Carnivorous,Anolis_capito
Anolis_carolinensis,Oviparous,Anolis,Dactyloidae,49.3,21.8,1.7,1.3,-4.574,2.942,140.5,59.6,0.4,-0.64,2.55,0.23,2,1,1.3,1,-88.33,32.08,Diurnal,sit and wait,Carnivorous,Anolis_carolinensis
Anolis_carpenteri,Oviparous,Anolis,Dactyloidae,39.9,26,1.6,1.4,-4.574,2.942,112.8,71.9,0.1,-0.41,1.37,0.39,1,1,1,1,-83.99,10.44,Diurnal,sit and wait,Carnivorous,Anolis_carpenteri
Anolis_christophei,Oviparous,Anolis,Dactyloidae,43.4,19.5,1.6,1.3,-4.574,2.942,123.1,52.8,0.2,-0.78,1.75,0.17,1,1,1,1,-70.44,19.06,Diurnal,sit and wait,Carnivorous,Anolis_christophei
Anolis_chrysolepis,Oviparous,Anolis,Dactyloidae,56,27,1.7,1.4,-4.574,2.942,160.2,74.9,0.6,-0.36,3.71,0.43,2,1,1,1,-57.49,-4.08,Diurnal,mixed,Carnivorous,Anolis_chrysolepis
Anolis_cristatellus,Oviparous,Anolis,Dactyloidae,50.9,22,1.7,1.3,-4.574,2.942,145.2,60.2,0.4,-0.62,2.80,0.24,1,1,1,1,-66.39,18.23,Diurnal,sit and wait,Omnivorous,Anolis_cristatellus
Anolis_cupreus,Oviparous,Anolis,Dactyloidae,44.1,18,1.6,1.3,-4.574,2.942,125.2,48.4,0.3,-0.88,1.84,0.13,1,1,1,1,-84.92,13.17,Diurnal,sit and wait,Carnivorous,Anolis_cupreus
Anolis_fuscoauratus,Oviparous,Anolis,Dactyloidae,45.2,16.7,1.7,1.2,-4.574,2.942,128.4,44.6,0.3,-0.98,1.97,0.11,2,1,1,1,-61.08,-3.58,Diurnal,sit and wait,Carnivorous,Anolis_fuscoauratus
Anolis_garmani,Oviparous,Anolis,Dactyloidae,81.1,27,1.9,1.4,-4.574,2.942,234,74.9,1.0,-0.36,11.02,0.43,2,1,1,1,-77.32,18.17,Diurnal,sit and wait,Omnivorous,Anolis_garmani
Anolis_gemmosus,Oviparous,Anolis,Dactyloidae,57.7,26.8,1.8,1.4,-4.574,2.942,165.2,74.3,0.6,-0.37,4.05,0.42,2,1,1,1,-78.55,0,Diurnal,sit and wait,Carnivorous,Anolis_gemmosus
Anolis_grahami,Oviparous,Anolis,Dactyloidae,44.5,18.5,1.6,1.3,-4.574,2.942,126.3,49.9,0.3,-0.85,1.89,0.14,2,1,1,1,-77.31,18.16,Diurnal,sit and wait,Omnivorous,Anolis_grahami
Anolis_gundlachi,Oviparous,Anolis,Dactyloidae,44.2,17.4,1.6,1.2,-4.574,2.942,125.5,46.6,0.3,-0.92,1.85,0.12,1,1,1,1,-66.45,18.22,Diurnal,sit and wait,Carnivorous,Anolis_gundlachi
Anolis_heterodermus,Oviparous,Anolis,Dactyloidae,62.7,22,1.8,1.3,-4.574,2.942,179.9,60.2,0.7,-0.62,5.17,0.24,1,1,1,1,-75.35,4.42,Diurnal,widely foraging,Carnivorous,Anolis_heterodermus
Anolis_homolechis,Oviparous,Anolis,Dactyloidae,38.8,16.5,1.6,1.2,-4.574,2.942,109.6,44,0.1,-0.99,1.26,0.10,1,1,1,1,-78.97,21.59,Diurnal,mixed,Carnivorous,Anolis_homolechis
Anolis_humilis,Oviparous,Anolis,Dactyloidae,37.5,16.7,1.6,1.2,-4.574,2.942,105.8,44.6,0.1,-0.98,1.14,0.11,2,1,1.1,1,-81.75,8.88,Diurnal,mixed,Carnivorous,Anolis_humilis
Anolis_krugi,Oviparous,Anolis,Dactyloidae,37.1,16,1.6,1.2,-4.574,2.942,104.6,42.5,0.0,-1.03,1.10,0.09,1,1,1,1,-66.39,18.21,Diurnal,sit and wait,Carnivorous,Anolis_krugi
Anolis_lemurinus,Oviparous,Anolis,Dactyloidae,59.3,24.5,1.8,1.4,-4.574,2.942,169.9,67.5,0.6,-0.49,4.39,0.33,2,1,1,1,-87.07,15.25,Diurnal,sit and wait,Carnivorous,Anolis_lemurinus
Anolis_limifrons,Oviparous,Anolis,Dactyloidae,41.8,15.5,1.6,1.2,-4.574,2.942,118.4,41,0.2,-1.07,1.57,0.08,2,1,2,1,-83.33,11.45,Diurnal,sit and wait,Carnivorous,Anolis_limifrons
Anolis_lineatopus,Oviparous,Anolis,Dactyloidae,46.2,21,1.7,1.3,-4.574,2.942,131.3,57.2,0.3,-0.68,2.11,0.21,1,1,1,1,-77.31,18.15,Diurnal,sit and wait,Carnivorous,Anolis_lineatopus
Anolis_lionotus,Oviparous,Anolis,Dactyloidae,62.5,26.5,1.8,1.4,-4.574,2.942,179.3,73.4,0.7,-0.39,5.12,0.41,1,1,1,1,-81.08,8.48,Diurnal,sit and wait,Carnivorous,Anolis_lionotus
Anolis_luciae,Oviparous,Anolis,Dactyloidae,55.5,23,1.7,1.4,-4.574,2.942,158.7,63.1,0.6,-0.57,3.61,0.27,1,1,1,1,-75.2,7.39,Diurnal,sit and wait,Carnivorous,Anolis_luciae
Anolis_meridionalis,Oviparous,Anolis,Dactyloidae,47.9,25.8,1.7,1.4,-4.574,2.942,136.3,71.3,0.4,-0.42,2.34,0.38,3,1,1.4,1,-53.91,-14.42,Diurnal,mixed,Carnivorous,Anolis_meridionalis
Anolis_nebulosus,Oviparous,Anolis,Dactyloidae,40.8,18,1.6,1.3,-4.574,2.942,115.5,48.4,0.2,-0.88,1.46,0.13,1,1,1,1,-102.21,20.94,Diurnal,mixed,Carnivorous,Anolis_nebulosus
Anolis_oculatus,Oviparous,Anolis,Dactyloidae,52,22.7,1.7,1.4,-4.574,2.942,148.4,62.2,0.5,-0.58,2.98,0.26,2,1,1.1,1,-61.36,15.43,Diurnal,sit and wait,Carnivorous,Anolis_oculatus
Anolis_opalinus,Oviparous,Anolis,Dactyloidae,42.3,19.3,1.6,1.3,-4.574,2.942,119.9,52.2,0.2,-0.79,1.62,0.16,2,1,1,1,-77.3,18.14,Diurnal,sit and wait,Carnivorous,Anolis_opalinus
Anolis_ortonii,Oviparous,Anolis,Dactyloidae,44.7,20.3,1.7,1.3,-4.574,2.942,126.9,55.1,0.3,-0.73,1.91,0.19,2,1,1,1,-62.48,-4.01,Diurnal,sit and wait,Carnivorous,Anolis_ortonii
Anolis_oxylophus,Oviparous,Anolis,Dactyloidae,58.9,26,1.8,1.4,-4.574,2.942,168.7,71.9,0.6,-0.41,4.30,0.39,1,1,1,1,-84.23,12.47,Diurnal,sit and wait,Carnivorous,Anolis_oxylophus
Anolis_planiceps,Oviparous,Anolis,Dactyloidae,62.2,26,1.8,1.4,-4.574,2.942,178.4,71.9,0.7,-0.41,5.05,0.39,2,1,1.4,1.4,-63.71,4.93,Diurnal,sit and wait,Carnivorous,Anolis_planiceps
Anolis_poecilopus,Oviparous,Anolis,Dactyloidae,59.6,29,1.8,1.5,-4.574,2.942,170.8,80.7,0.6,-0.27,4.45,0.54,1,1,1,1,-76.2,7.57,Diurnal,sit and wait,Carnivorous,Anolis_poecilopus
Anolis_polylepis,Oviparous,Anolis,Dactyloidae,45.4,19,1.7,1.3,-4.574,2.942,129,51.3,0.3,-0.81,2.00,0.15,1,1,1,1,-83.33,8.88,Diurnal,sit and wait,Carnivorous,Anolis_polylepis
Anolis_punctatus,Oviparous,Anolis,Dactyloidae,70.4,26,1.8,1.4,-4.574,2.942,202.5,71.9,0.9,-0.41,7.27,0.39,2,1,1.5,1,-60.09,-5.38,Diurnal,sit and wait,Carnivorous,Anolis_punctatus
Anolis_sagrei,Oviparous,Anolis,Dactyloidae,47.7,16,1.7,1.2,-4.574,2.942,135.8,42.5,0.4,-1.03,2.31,0.09,2,1,2,1,-83.13,22.88,Diurnal,sit and wait,Carnivorous,Anolis_sagrei
Anolis_scypheus,Oviparous,Anolis,Dactyloidae,73,29.5,1.9,1.5,-4.574,2.942,210.2,82.2,0.9,-0.25,8.09,0.56,2,1,1,1,-73.77,-0.69,Diurnal,sit and wait,Carnivorous,Anolis_scypheus
Anolis_tandai,Oviparous,Anolis,Dactyloidae,65.2,27.5,1.8,1.4,-4.574,2.942,187.2,76.3,0.8,-0.34,5.80,0.46,1,1,1,1,-65.21,-7.07,Diurnal,sit and wait,Carnivorous,Anolis_tandai
Anolis_trachyderma,Oviparous,Anolis,Dactyloidae,53.8,25.5,1.7,1.4,-4.574,2.942,153.7,70.4,0.5,-0.44,3.30,0.37,2,1,2,1,-70.78,-3.99,Diurnal,sit and wait,Carnivorous,Anolis_trachyderma
Anolis_transversalis,Oviparous,Anolis,Dactyloidae,77.1,38,1.9,1.6,-4.574,2.942,222.3,107.2,1.0,0.07,9.50,1.19,1,1,1,1,-68.88,-4.84,Diurnal,sit and wait,Carnivorous,Anolis_transversalis
Anolis_tropidolepis,Oviparous,Anolis,Dactyloidae,50.8,20.5,1.7,1.3,-4.574,2.942,144.9,55.7,0.4,-0.71,2.78,0.19,1,1,1,1,-84.09,10.01,Diurnal,sit and wait,Carnivorous,Anolis_tropidolepis
Anolis_valencienni,Oviparous,Anolis,Dactyloidae,59.9,23.3,1.8,1.4,-4.574,2.942,171.7,64,0.7,-0.55,4.52,0.28,1,1,1,1,-77.31,18.16,Diurnal,widely foraging,Omnivorous,Anolis_valencienni
Anotosaura_vanzolinia,Oviparous,Anotosaura,Gymnophthalmidae,45.5,19.1,1.7,1.3,-5.178,3.302,145.1,57.9,0.3,-0.95,1.98,0.11,2,1,2,1.9,-36.83,-8.23,Diurnal,widely foraging,Carnivorous,Anotosaura_vanzolinia
Aristelliger_cochranae,Oviparous,Aristelliger,Sphaerodactylidae,44,20.6,1.6,1.3,-4.558,2.97,126.1,56.6,0.3,-0.66,2.10,0.22,1,1,1,1,-72.28,18.8,Cathemeral,widely foraging,Carnivorous,Aristelliger_cochranae
Aristelliger_praesignis,Oviparous,Aristelliger,Sphaerodactylidae,58.1,23,1.8,1.4,-4.558,2.97,168,63.8,0.7,-0.51,4.80,0.31,1,1,1,1,-77.37,18.18,Cathemeral,sit and wait,Carnivorous,Aristelliger_praesignis
Arthrosaura_reticulata,Oviparous,Arthrosaura,Gymnophthalmidae,56.5,23,1.8,1.4,-5.178,3.302,181.4,70.8,0.6,-0.68,4.05,0.21,2,1,2,2,-61.62,-3.75,Diurnal,widely foraging,Carnivorous,Arthrosaura_reticulata
Aspidoscelis_burti,Oviparous,Aspidoscelis,Teiidae,102.2,33,2.0,1.5,-4.747,3.11,313.1,97.9,1.5,-0.02,31.80,0.95,10,1,4.3,4.3,-110.26,29.57,Diurnal,widely foraging,Carnivorous,Aspidoscelis_burti
Aspidoscelis_deppii,Oviparous,Aspidoscelis,Teiidae,67.4,30.5,1.8,1.5,-4.747,3.11,204.9,90.1,0.9,-0.13,8.71,0.74,4,1,3,1.6,-93.54,16.49,Diurnal,widely foraging,Carnivorous,Aspidoscelis_deppii
Aspidoscelis_exsanguis,Oviparous,Aspidoscelis,Teiidae,80.6,34.8,1.9,1.5,-4.747,3.11,245.9,103.5,1.2,0.05,15.20,1.12,7,1,4.4,2.7,-106.38,31.72,Diurnal,widely foraging,Carnivorous,Aspidoscelis_exsanguis
Aspidoscelis_gularis,Oviparous,Aspidoscelis,Teiidae,77.4,32.5,1.9,1.5,-4.747,3.11,236,96.3,1.1,-0.05,13.40,0.90,8,1,5,2.4,-100.92,28.19,Diurnal,widely foraging,Carnivorous,Aspidoscelis_gularis
Aspidoscelis_guttatus,Oviparous,Aspidoscelis,Teiidae,92.7,35,2.0,1.5,-4.747,3.11,283.6,104.1,1.4,0.06,23.48,1.14,5,1,4.5,4.5,-96.79,17.41,Diurnal,widely foraging,Carnivorous,Aspidoscelis_guttatus
Aspidoscelis_hyperythrus,Oviparous,Aspidoscelis,Teiidae,58.3,27.5,1.8,1.4,-4.747,3.11,176.6,80.8,0.7,-0.27,5.55,0.54,4,1,2.3,2.3,-113.86,28.61,Diurnal,widely foraging,Carnivorous,Aspidoscelis_hyperythrus
Aspidoscelis_inornatus,Oviparous,Aspidoscelis,Teiidae,54.9,31.5,1.7,1.5,-4.747,3.11,166,93.2,0.7,-0.09,4.60,0.82,6,1,3.3,2,-104.17,29.13,Diurnal,widely foraging,Carnivorous,Aspidoscelis_inornatus
Aspidoscelis_laredoensis,Oviparous,Aspidoscelis,Teiidae,72.9,32.5,1.9,1.5,-4.747,3.11,222,96.3,1.0,-0.05,11.12,0.90,7,1,4.2,2.6,-99.35,27.31,Diurnal,widely foraging,Carnivorous,Aspidoscelis_laredoensis
Aspidoscelis_lineattissimus,Oviparous,Aspidoscelis,Teiidae,77.8,32.5,1.9,1.5,-4.747,3.11,237.2,96.3,1.1,-0.05,13.61,0.90,9,1,4.8,3.8,-103.78,19.62,Diurnal,widely foraging,Carnivorous,Aspidoscelis_lineattissimus
Aspidoscelis_marmoratus,Oviparous,Aspidoscelis,Teiidae,79.6,34.5,1.9,1.5,-4.747,3.11,242.8,102.5,1.2,0.04,14.62,1.09,5,1,3.3,2,-103.93,29.89,Diurnal,widely foraging,Carnivorous,Aspidoscelis_marmoratus
Aspidoscelis_neomexicanus,Oviparous,Aspidoscelis,Teiidae,67.5,33.8,1.8,1.5,-4.747,3.11,205.2,100.4,0.9,0.01,8.75,1.02,4,1,2.3,1.6,-106.79,33.12,Diurnal,widely foraging,Carnivorous,Aspidoscelis_neomexicanus
Aspidoscelis_parvisocius,Oviparous,Aspidoscelis,Teiidae,58.9,29,1.8,1.5,-4.747,3.11,178.4,85.4,0.8,-0.20,5.73,0.63,4,1,1.8,1.8,-97.4,18.19,Diurnal,widely foraging,Carnivorous,Aspidoscelis_parvisocius
Aspidoscelis_scalaris,Oviparous,Aspidoscelis,Teiidae,78.5,32.5,1.9,1.5,-4.747,3.11,239.4,96.3,1.1,-0.05,14.00,0.90,5,1,3.3,3.3,-102.91,25.14,Diurnal,widely foraging,Carnivorous,Aspidoscelis_scalaris
Aspidoscelis_sexlineatus,Oviparous,Aspidoscelis,Teiidae,67,31,1.8,1.5,-4.747,3.11,203.6,91.7,0.9,-0.11,8.55,0.78,8,1,5.3,2.1,-92.91,35.26,Diurnal,widely foraging,Carnivorous,Aspidoscelis_sexlineatus
Aspidoscelis_sonorae,Oviparous,Aspidoscelis,Teiidae,81.4,27,1.9,1.4,-4.747,3.11,248.4,79.2,1.2,-0.30,15.67,0.51,7,1,4.1,3.7,-109.73,31.09,Diurnal,widely foraging,Carnivorous,Aspidoscelis_sonorae
Aspidoscelis_tesselatus,Oviparous,Aspidoscelis,Teiidae,76.9,41.5,1.9,1.6,-4.747,3.11,234.4,124.3,1.1,0.29,13.13,1.93,8,1,4.9,3.2,-104.16,32.45,Diurnal,widely foraging,Carnivorous,Aspidoscelis_tesselatus
Aspidoscelis_tigris,Oviparous,Aspidoscelis,Teiidae,81.3,33,1.9,1.5,-4.747,3.11,248.1,97.9,1.2,-0.02,15.61,0.95,8,1,4.1,1.3,-111.42,33.69,Diurnal,widely foraging,Carnivorous,Aspidoscelis_tigris
Aspidoscelis_uniparens,Oviparous,Aspidoscelis,Teiidae,63.1,28.5,1.8,1.5,-4.747,3.11,191.5,83.9,0.9,-0.22,7.10,0.60,7,1,3.7,2.4,-108.89,32.27,Diurnal,widely foraging,Carnivorous,Aspidoscelis_uniparens
Aspidoscelis_velox,Oviparous,Aspidoscelis,Teiidae,74,35,1.9,1.5,-4.747,3.11,225.4,104.1,1.1,0.06,11.65,1.14,5,3,4,4,-109.34,35.97,Diurnal,widely foraging,Carnivorous,Aspidoscelis_velox
Atlantolacerta_andreanskyi,Oviparous,Atlantolacerta,Lacertidae,46,22.2,1.7,1.3,-4.543,2.951,131.2,61,0.4,-0.57,2.31,0.27,3,1,2.1,1.6,-6.55,31.72,Diurnal,widely foraging,Carnivorous,Atlantolacerta_andreanskyi
Bachia_bicolor,Oviparous,Bachia,Gymnophthalmidae,61.1,25.5,1.8,1.4,-5.178,3.302,196.6,79,0.7,-0.53,5.24,0.29,2,2,2,2,-74.12,8.46,Diurnal,widely foraging,Carnivorous,Bachia_bicolor
Barisia_imbricata,Viviparous,Barisia,Anguidae,110,32.1,2.0,1.5,-5.765,3.48,377,105.9,1.3,-0.52,21.83,0.30,20,5,16,6.9,-102.2,22.2,Diurnal,widely foraging,Carnivorous,Barisia_imbricata
Basiliscus_basiliscus,Oviparous,Basiliscus,Corytophanidae,160,40,2.2,1.6,-5.033,3.243,513.8,124.7,2.1,0.16,130.31,1.45,20,2,10,8.4,-75.9,8,Diurnal,sit and wait,Omnivorous,Basiliscus_basiliscus
Basiliscus_vittatus,Oviparous,Basiliscus,Corytophanidae,117.8,37.5,2.1,1.6,-5.033,3.243,377,116.6,1.7,0.07,48.28,1.18,18,2,6.9,3.9,-91.18,16.83,Diurnal,sit and wait,Omnivorous,Basiliscus_vittatus
Bradypodion_pumilum,Viviparous,Bradypodion,Chamaeleonidae,71.4,21,1.9,1.3,-3.997,2.68,187.4,52.3,1.0,-0.45,9.35,0.35,21,2,14,11,17.74,-30.36,Diurnal,mixed,Carnivorous,Bradypodion_pumilum
Brasiliscincus_agilis,Viviparous,Brasiliscincus,Scincidae,70.6,33.5,1.8,1.5,-5.125,3.229,222.8,103,0.8,-0.20,7.00,0.63,9,1,5.7,3.3,-41.13,-17.27,Diurnal,widely foraging,Carnivorous,Brasiliscincus_agilis
Brasiliscincus_heathi,Viviparous,Brasiliscincus,Scincidae,67.1,29.7,1.8,1.5,-5.125,3.229,211.5,90.8,0.8,-0.37,5.94,0.43,9,2,5.3,2.8,-42.41,-10.36,Diurnal,mixed,Carnivorous,Brasiliscincus_heathi
Bunopus_blanfordii,Oviparous,Bunopus,Gekkonidae,40.9,21,1.6,1.3,-4.242,2.761,108.7,53.7,0.2,-0.59,1.61,0.26,2,2,2,2,39.5,27.18,Cathemeral,sit and wait,Carnivorous,Bunopus_blanfordii
Bunopus_tuberculatus,Oviparous,Bunopus,Gekkonidae,39.3,20.5,1.6,1.3,-4.242,2.761,104.3,52.4,0.2,-0.62,1.45,0.24,2,1,2,2,51.55,28.41,Cathemeral,sit and wait,Carnivorous,Bunopus_tuberculatus
Callisaurus_draconoides,Oviparous,Callisaurus,Phrynosomatidae,67.9,28.5,1.8,1.5,-3.855,2.677,177.9,72.4,1.0,0.04,11.19,1.10,15,1,6,2.7,-113.75,32.88,Diurnal,sit and wait,Carnivorous,Callisaurus_draconoides
Calotes_mystaceus,Oviparous,Calotes,Agamidae,102.8,25,2.0,1.4,-4.686,3.105,314.5,72.9,1.6,-0.35,36.41,0.45,18,6,7,7,101.2,17.85,Diurnal,widely foraging,Carnivorous,Calotes_mystaceus
